(Ratboy, Ratboy Skogstrom)
(June Stahl, Edmond Hayes)
(June Stahl, AK-51)
(Damien Moreno, Out)
(Damien Moreno, Sons of Anarchy)
(Carla Jimenez, Lochán Mór)
(Carla Jimenez, Sons of Anarchy)
(Luann Delaney, Bobby Munson)
(Luann Delaney, Gemma Teller Morrow)
(Luann Delaney, June Stahl)
(Luann Delaney, ATF)
(Luann Delaney, Georgie Caruso)
(Luann Delaney, Cara Cara)
(Luann Delaney, Potlatch)
(Luann Delaney, Otto Delaney)
(Luann Delaney, SAMCRO)
(Luann Delaney, Dendrie Taylor)
(Pablo Espinosa, AK-51)
(Pablo Espinosa, Fun Town)
(Pablo Espinosa, Seeds)
(Pablo Espinosa, Fain)
(Pablo Espinosa, Sons of Anarchy)
(Walter Wong, Sons of Anarchy)
(Walter Wong, Chris 'V-Lin' Von Lin)
(Walter Wong, Chris 'V-Lin' Von Lin - List of Appearances)
(Tom Cohan, Oiled)
(Tom Cohan, Sons of Anarchy)
(Simon, SAMCRO)
(Simon, Michael Potter)
(Simon, Bobby Munson)
(Simon, Half Sack Epps)
(Byz Lats, Gomes)
(Byz Lats, Felipe)
(Byz Lats, Jax Teller)
(Byz Lats, Nero Padilla)
(Byz Lats, Fiasco)
(Byz Lats, Lupe)
(Byz Lats, Mayans Motorcycle Club)
(Byz Lats, Arcadio Nerona)
(Byz Lats, Sons of Anarchy Motorcycle Club)
(Byz Lats, Renaldo)
(Byz Lats, Chibs Telford)
(AJ Weston, Henry Rollins)
(AJ Weston, Ernest Darby)
(AJ Weston, Ethan Zobelle)
(AJ Weston, Opie Winston)
(AJ Weston, The Culling)
(AJ Weston, Gemma Teller Morrow)
(AJ Weston, Na Trioblóidí)
(AJ Weston, Stockton State Prison)
(AJ Weston, Lin Triad)
(AJ Weston, Irish Freddy)
(AJ Weston, Ule)
(AJ Weston, Federal Bureau of Investigation)
(AJ Weston, Mayans Motorcycle Club)
(AJ Weston, Cara Cara)
(AJ Weston, Duke Weston)
(AJ Weston, Chuck Marstein)
(AJ Weston, Cameron Hayes)
(AJ Weston, David Hale)
(AJ Weston, Charming Police Department)
(AJ Weston, Otto Delaney)
(AJ Weston, L.O.A.N.)
(AJ Weston, Cliff Weston)
(AJ Weston, Polly Zobelle)
(AJ Weston, Jax Teller)
(AJ Weston, One-Niners)
(AJ Weston, SAMCRO)
(AJ Weston, Aryan Brotherhood)
(AJ Weston, Nordics)
(AJ Weston, True IRA)
(AJ Weston, Wayne Unser)
(AJ Weston, Jacob Hale Jr.)
(AJ Weston, Clay Morrow)
(Kevin Kearns, Luke Moran)
(Kevin Kearns, Luke Moran - List of Appearances)
(Kevin Kearns, Sons of Anarchy)
(Ruben Garfias, Falx Cerebri)
(Lorcan O'Toole, Turas)
(Lorcan O'Toole, Lochán Mór)
(Lorcan O'Toole, Padraic Telford)
(Lorcan O'Toole, Sons of Anarchy)
(Brendan Roarke, Declan)
(Brendan Roarke, Papa's Goods)
(Brendan Roarke, Charming)
(Brendan Roarke, Hugh)
(Brendan Roarke, Jimmy O'Phelan)
(Brendan Roarke, Connor Malone)
(Brendan Roarke, True IRA)
(Brendan Roarke, V-Lin)
(Brendan Roarke, August Marks)
(Brendan Roarke, Belfast)
(Brendan Roarke, SAMCRO)
(Brendan Roarke, Declan Brogan)
(Brendan Roarke, Red Rose)
(Brendan Roarke, Clay Morrow)
(Brendan Roarke, Filthy Phil Russell)
(Brendan Roarke, Galen O'Shay)
(Brendan Roarke, Bob McCracken)
(Brendan Roarke, Galindo Cartel)
(Brendan Roarke, Jax Teller)
(Josh Latzer, Eureka)
(Whistler, Ernest Darby)
(Whistler, Jax)
(Whistler, Nordics)
(Whistler, Pilot)
(Whistler, Charming)
(Whistler, Clay)
(Whistler, Jax Teller)
(Chris Coy, Fa Guan)
(Chris Coy, Sons of Anarchy)
(Gus Buktenica, Sons of Anarchy)
(Gus Buktenica, Some Strange Eruption)
(Gus Buktenica, Playing with Monsters)
(Kavita Patil, Kenny Johnson)
(Kavita Patil, Josh Wingate)
(Kavita Patil, Sons of Anarchy)
(Kavita Patil, Malcolm-Jamal Warner)
(Kavita Patil, Glenn Plummer)
(Kavita Patil, Billy Brown)
(Kavita Patil, Al Vicente)
(Kavita Patil, Jimmy Smits)
(Kavita Patil, Brad Carter)
(Kavita Patil, Douglas Bennett)
(Kavita Patil, Olivia Burnette)
(Kavita Patil, Peter Weller)
(Kavita Patil, AK-51)
(Keith Szarabajka, Viktor Putlova)
(Keith Szarabajka, Out)
(Keith Szarabajka, NS)
(Keith Szarabajka, June Wedding)
(Keith Szarabajka, Sons of Anarchy)
(Izzy, Jax Teller)
(Izzy, Ernest Darby)
(Izzy, Pilot)
(Izzy, Abel Teller)
(Izzy, Season 1)
(Izzy, Wendy Case)
(Izzy, Whistler)
(Izzy, Tara Knowles)
(Izzy, Nordics)
(Izzy, Juice Ortiz)
(Izzy, Jackson 'Jax' Teller)
(Izzy, Bobby Munson)
(Izzy, Chibs Telford)
(Izzy, Dennis Keiffer)
(Izzy, Season 2)
(Izzy, Clay Morrow)
(Tara Macken, Luisa)
(Tara Macken, Luisa - List of Appearances)
(Tara Macken, Sons of Anarchy)
(Duke Weston, AJ Weston)
(Duke Weston, Trenton Rogers)
(Duke Weston, Cliff Weston)
(Big Otto Delaney, Otto Delaney)
(Michael Potter, Simon)
(Michael Potter, Pilot)
(Michael Potter, Sons of Anarchy)
(Eviqua Michaels, Brenan Hefner)
(Eviqua Michaels, Ashley Monique Clark)
(Eviqua Michaels, Jax Teller)
(James Moses Black, Laying Pipe)
(James Moses Black, Sons of Anarchy)
(Jose Galindo, Galindo Cartel)
(Jose Galindo, Lobos Sonora Cartel)
(Jose Galindo, Romeo Parada)
(Ashley Tisdale, Laying Pipe)
(Ashley Tisdale, Stolen Huffy)
(Ashley Tisdale, Emma Jean)
(Ashley Tisdale, Sons of Anarchy)
(Gemma Teller, Gemma Teller Morrow)
(Dennis Keiffer, Fix)
(Dennis Keiffer, Sons of Anarchy)
(Dennis Keiffer, Fa Guan)
(Dennis Keiffer, Pilot)
(Dennis Keiffer, Izzy)
(Andy McPhee, Andrew McPhee)
(John Henry Whitaker, Seeds)
(John Henry Whitaker, Sons of Anarchy)
(Home, Filip 'Chibs' Telford)
(Home, Gemma Teller Morrow)
(Home, Cherry)
(Home, Dayton Callie)
(Home, Kim Coates)
(Home, Jimmy O'Phelan)
(Home, Caregiver)
(Home, Maggie Siff)
(Home, Dan Hildebrand)
(Home, Maureen Ashby)
(Home, Eric Miles)
(Home, James Cosmo)
(Home, Jackson 'Jax' Teller)
(Home, Nate Madock)
(Home, Mark Boone Junior)
(Home, Clarence 'Clay' Morrow)
(Home, Liz Sagal)
(Home, Theo Rossi)
(Home, Harry 'Opie' Winston)
(Home, Sons of Anarchy)
(Home, Charlie Hunnam)
(Home, Katey Sagal)
(Home, Glenn Keogh)
(Home, Tommy Flanagan)
(Home, David Labrava)
(Home, SAMCRO)
(Home, Titus Welliver)
(Home, Ray Porter)
(Home, Turning and Turning)
(Home, Christopher Reed)
(Home, Kurt Sutter)
(Home, Arie Verveen)
(Home, Piermont 'Piney' Winston)
(Home, Sean Casey)
(Home, Happy)
(Home, Gemma)
(Home, Guy Ferland)
(Home, Taryn Manning)
(Home, Trinity Ashby)
(Home, Season 3)
(Home, William Lucking)
(Home, Zoe Boyle)
(Home, Paula Malcolmson)
(Home, Kellan Ashby)
(Home, Ryan Hurst)
(Home, Frances Fisher)
(Home, Bobby 'Elvis' Munson)
(Home, Juan Carlos 'Juice' Ortiz)
(Home, Ron Perlman)
(Home, Philip 'Filthy Phil' Russell)
(Home, Tom Virtue)
(Home, Tara Knowles)
(Home, Liam O'Neill)
(Home, Hal Holbrook)
(Home, Wayne Unser)
(Home, Michael Casey)
(Home, Alex 'Tig' Trager)
(Home, Frank Potter)
(Grad Nicholas, Sons of Anarchy Motorcycle Club)
(Grad Nicholas, Lincoln Potter)
(Grad Nicholas, David Rees Snell)
(Grad Nicholas, Bureau of Alcohol, Tobacco, Firearms and Explosives)
(Lobos Sonora Cartel, Galindo Cartel)
(Lobos Sonora Cartel, SAMTAZ)
(Lobos Sonora Cartel, Kozik)
(Lobos Sonora Cartel, Jax)
(Lobos Sonora Cartel, Romero 'Romeo' Parada)
(Lobos Sonora Cartel, Mayans)
(Lobos Sonora Cartel, Luis Torres)
(Lobos Sonora Cartel, Sons of Anarchy Motorcycle Club)
(Lobos Sonora Cartel, True IRA)
(Lobos Sonora Cartel, Chibs)
(Lobos Sonora Cartel, Lobos Sonora lieutenant)
(Matt K. Miller, Smite)
(Patrick Clement, Pilot)
(Patrick Clement, Sons of Anarchy)
(Billy Brown, August Marks)
(Billy Brown, August Marks - List of Appearances)
(Billy Brown, Sons of Anarchy)
(Phillipos Haile, Sons of Anarchy)
(Phillipos Haile, Playing with Monsters)
(Roberto Garcia, Fruit For The Crows)
(Roberto Garcia, Sons of Anarchy)
(Season 1, Cherry)
(Season 1, Dayton Callie)
(Season 1, Glenn Plummer)
(Season 1, Jack LoGiudice)
(Season 1, Tory Kittles)
(Season 1, Chibs Telford)
(Season 1, Mary Winston)
(Season 1, Happy Lowman)
(Season 1, Lowell Harland, Jr.)
(Season 1, Kelly Manners)
(Season 1, Juice Ortiz)
(Season 1, Vic Trammel)
(Season 1, Keir O'Donnell)
(Season 1, Whistler)
(Season 1, Laroy Wayne)
(Season 1, Capybara)
(Season 1, Nate Meineke)
(Season 1, Tayler Sheridan)
(Season 1, Half Sack Epps)
(Season 1, The Pull)
(Season 1, Brenan Hefner)
(Season 1, Piney Winston)
(Season 1, Allen Coulter)
(Season 1, Luann Delaney)
(Season 1, Frank Cison)
(Season 1, Johnny Lewis)
(Season 1, June Stahl)
(Season 1, Cameron Hayes)
(Season 1, Jay Karnes)
(Season 1, Kenny Winston)
(Season 1, Ernest Darby)
(Season 1, Paris Barclay)
(Season 1, John Linson)
(Season 1, Opie Winston)
(Season 1, Old Bones)
(Season 1, Saunders)
(Season 1, Michael Dinner)
(Season 1, Clay Morrow)
(Season 1, Art Linson)
(Season 1, Eviqua Michaels)
(Season 1, Ryan Hurst)
(Season 1, Tara Knowles)
(Season 1, Dendrie Taylor)
(Season 1, Dave Erickson)
(Season 1, John Teller)
(Season 1, FX)
(Season 1, Ellie Winston)
(Season 1, Patch Over)
(Season 1, Brett Conrad)
(Season 1, Gwyneth Horder-Payton)
(Season 1, Kurt Sutter)
(Season 1, Julie Ariola)
(Season 1, Wayne Unser)
(Season 1, Donna Winston)
(Season 1, Craig Yahata)
(Season 1, Esai Alvarez)
(Season 1, Ally Walker)
(Season 1, Sons of Anarchy)
(Season 1, Gemma Teller Morrow)
(Season 1, Sprague Grayden)
(Season 1, Pilot)
(Season 1, Kim Coates)
(Season 1, Lela Cortines)
(Season 1, Wendy Case)
(Season 1, The Sleep of Babies)
(Season 1, Kevin G. Cremin)
(Season 1, Russell Meineke)
(Season 1, Tim Hunter)
(Season 1, Pat Charles)
(Season 1, Floyd)
(Season 1, Derwin Jordan)
(Season 1, Fain)
(Season 1, Josh Kohn)
(Season 1, Maggie Siff)
(Season 1, Mario Van Peebles)
(Season 1, David Labrava)
(Season 1, Tig Trager)
(Season 1, Charlie Hunnam)
(Season 1, Katey Sagal)
(Season 1, Pablo Espinosa)
(Season 1, Mark Boone Junior)
(Season 1, Tommy Flanagan)
(Season 1, Guy Ferland)
(Season 1, John Abendroth)
(Season 1, Ashley Monique Clark)
(Season 1, Emilio Rivera)
(Season 1, N. Beattie Rapaport)
(Season 1, Seeds)
(Season 1, Nicholas Guest)
(Season 1, Marcus Alvarez)
(Season 1, Hell Followed)
(Season 1, The Revelator)
(Season 1, Charles Haid)
(Season 1, Giving Back)
(Season 1, Ron Perlman)
(Season 1, Seith Mann)
(Season 1, Billy Gierhart)
(Season 1, Mitch Pileggi)
(Season 1, Jim Parriott)
(Season 1, Drea de Matteo)
(Season 1, Theo Rossi)
(Season 1, Bobby Munson)
(Season 1, Taryn Manning)
(Season 1, Jamie McShane)
(Season 1, David Hale)
(Season 1, Skip Schoolnik)
(Season 1, Terrence O'Hara)
(Season 1, Smith)
(Season 1, Fun Town)
(Season 1, Better Half)
(Season 1, Jax Teller)
(Season 1, James Carraway)
(Season 1, Stephen T. Kay)
(Season 1, AK-51)
(Season 1, William Lucking)
(Johnny Lewis, Kip 'Half-Sack' Epps - List of Appearances)
(Johnny Lewis, Half Sack Epps)
(Johnny Lewis, Sons of Anarchy)
(N. Beattie Rapaport, Season 1)
(N. Beattie Rapaport, AK-51)
(N. Beattie Rapaport, Sons of Anarchy)
(Guy Ferland, Sons of Anarchy)
(Long John, Teller-Morrow)
(Long John, Stevie Long)
(Long John, Pilot)
(Long John, Half Sack Epps)
(Greg the Peg, Toad's Wild Ride)
(Greg the Peg, SAMCRO)
(Greg the Peg, Clay Morrow)
(Greg the Peg, Frankie Diamonds)
(Greg the Peg, Wayne Unser)
(Greg the Peg, GoGo)
(Greg the Peg, Sovereign)
(Greg the Peg, Kurt Yaeger)
(Greg the Peg, Jax Teller)
(Jeff Wincott, Jimmy Cacuzza)
(Jeff Wincott, Sons of Anarchy)
(Jeff Wincott, Huang Wu)
(Jeff Wincott, Seeds)
(Jeff Wincott, Andare Pescare)
(Marcus Alvarez, Gemma Teller Morrow)
(Marcus Alvarez, President)
(Marcus Alvarez, Jax)
(Marcus Alvarez, Byz Lats)
(Marcus Alvarez, Nords)
(Marcus Alvarez, Margaret Murphy)
(Marcus Alvarez, L.O.A.N.)
(Marcus Alvarez, Connor Malone)
(Marcus Alvarez, Damon Pope)
(Marcus Alvarez, Oscar El Oso Ramos)
(Marcus Alvarez, Pedro)
(Marcus Alvarez, AJ Weston)
(Marcus Alvarez, Eric Miles)
(Marcus Alvarez, Tyler)
(Marcus Alvarez, Laroy)
(Marcus Alvarez, Juice Ortiz)
(Marcus Alvarez, Tig Trager)
(Marcus Alvarez, Chibs Telford)
(Marcus Alvarez, Jax Teller)
(Marcus Alvarez, A Mother's Work)
(Marcus Alvarez, Emilio Rivera)
(Marcus Alvarez, Laroy Wayne)
(Marcus Alvarez, Darnell)
(Marcus Alvarez, Moses Cartwright)
(Marcus Alvarez, Grim Bastards)
(Marcus Alvarez, Indian Hills)
(Marcus Alvarez, Service)
(Marcus Alvarez, Hands)
(Marcus Alvarez, SAMTAZ)
(Marcus Alvarez, Mayans)
(Marcus Alvarez, One-Niners)
(Marcus Alvarez, Happy)
(Marcus Alvarez, SAMCRO)
(Marcus Alvarez, Russian Mafia)
(Marcus Alvarez, Rig)
(Marcus Alvarez, Bobby)
(Marcus Alvarez, Seamus Ryan)
(Marcus Alvarez, Diana Alvarez)
(Marcus Alvarez, Lobos Sonora Cartel)
(Marcus Alvarez, Renaldo)
(Marcus Alvarez, Nordics)
(Marcus Alvarez, Roscoe)
(Marcus Alvarez, Ernest Darby)
(Marcus Alvarez, Josh Kohn)
(Marcus Alvarez, Henry Lin)
(Marcus Alvarez, Gill)
(Marcus Alvarez, ATF)
(Marcus Alvarez, Opie Winston)
(Marcus Alvarez, Lincoln Potter)
(Marcus Alvarez, Jury White)
(Marcus Alvarez, Tessa Alvarez)
(Marcus Alvarez, August Marks)
(Marcus Alvarez, T.O. Cross)
(Marcus Alvarez, Abel Teller)
(Marcus Alvarez, John Teller)
(Marcus Alvarez, Fiasco)
(Marcus Alvarez, Hector Salazar)
(Marcus Alvarez, Benny)
(Marcus Alvarez, SAMBEL)
(Marcus Alvarez, Bobby Munson)
(Marcus Alvarez, Ryu Tom)
(Marcus Alvarez, Gaines)
(Marcus Alvarez, Huff)
(Marcus Alvarez, Tara Knowles)
(Marcus Alvarez, Calaveras)
(Marcus Alvarez, Ethan Zobelle)
(Marcus Alvarez, Armando)
(Marcus Alvarez, Viktor Putlova)
(Marcus Alvarez, Chino)
(Marcus Alvarez, Papa's Goods)
(Marcus Alvarez, Wayne Unser)
(Marcus Alvarez, Esai Alvarez)
(Marcus Alvarez, True IRA)
(Marcus Alvarez, Clay)
(Marcus Alvarez, Tig)
(Marcus Alvarez, First 9)
(Marcus Alvarez, Nero Padilla)
(Marcus Alvarez, Eli Roosevelt)
(Marcus Alvarez, Lin Triad)
(Marcus Alvarez, Opie)
(Marcus Alvarez, Dorylus)
(Marcus Alvarez, Keith McGee)
(Marcus Alvarez, Clay Morrow)
(Plow, Tig Trager)
(Plow, Happy Lowman)
(Plow, Aryan Brotherhood)
(Plow, Derek Mears)
(Plow, Juice Ortiz)
(Plow, Ernest Darby)
(Plow, Ratboy Skogstrom)
(Plow, Wolfsangel)
(Fiasco, One-Niners)
(Fiasco, Rey Gallegos)
(Fiasco, SAMCRO)
(Fiasco, Marcus Alvarez)
(Fiasco, Red Rose)
(Fiasco, Byz Lats)
(Fiasco, Mayans Motorycle Club)
(Fiasco, Nero Padilla)
(Fiasco, Black Widower)
(Fiasco, Oscar El Oso Ramos)
(Stephen Merdell, Ross)
(Stephen Merdell, Small World)
(Stephen Merdell, Sons of Anarchy)
(Dan Conroy, Fírinne)
(Dan Conroy, Sons of Anarchy)
(Chris Browning, GoGo)
(Chris Browning, GoGo - List of Appearances)
(Chris Browning, Sons of Anarchy)
(Precious Ryan, Eileen Grubba)
(Precious Ryan, SAMCRO)
(Precious Ryan, Bobby 'Elvis' Munson)
(Precious Ryan, Sergio Coletti)
(Dendrie Taylor, Luann Delaney)
(Dendrie Taylor, Luann Delaney - List of Appearances)
(Dendrie Taylor, Sons of Anarchy)
(Steve Howey, Hopper)
(Steve Howey, Hopper - List of Appearances)
(Steve Howey, Sons of Anarchy)
(Sons of Anarchy Characters, Rogue River)
(Sons of Anarchy Characters, Aryan Brotherhood)
(Sons of Anarchy Characters, Tacoma)
(Sons of Anarchy Characters, True IRA)
(Sons of Anarchy Characters, Militia)
(Sons of Anarchy Characters, Byz Lats)
(Sons of Anarchy Characters, SAMBEL)
(Sons of Anarchy Characters, Black Guerrilla Family)
(Sons of Anarchy Characters, Grim Bastards)
(Sons of Anarchy Characters, Sons of Anarchy)
(Sons of Anarchy Characters, L.O.A.N.)
(Sons of Anarchy Characters, SAMCRO)
(Sons of Anarchy Characters, One-Niners)
(Sons of Anarchy Characters, Mayans Motorycle Club)
(Sons of Anarchy Characters, SAMTAZ)
(Sons of Anarchy Characters, Russian Mafia)
(Sons of Anarchy Characters, Nordics)
(Sons of Anarchy Characters, Cacuzza Crime Family)
(Sons of Anarchy Characters, Lin Triad)
(Sons of Anarchy Characters, Reno)
(Sons of Anarchy Characters, St. Thomas Hospital)
(Sons of Anarchy Characters, SAMDINO)
(Jeff Vican, Pilot)
(Jeff Vican, Sons of Anarchy)
(Derwin Jordan, Smith)
(Derwin Jordan, Smith - List of Appearances)
(Derwin Jordan, Sons of Anarchy)
(Charming, California, Charming)
(Michael O'Neill, Fa Guan)
(Michael O'Neill, Sons of Anarchy)
(Dayton Callie, Wayne Unser)
(Dayton Callie, Wayne Unser - List of Appearances)
(Dayton Callie, Sons of Anarchy)
(Luis Torres, Pedro)
(Luis Torres, Benito Martinez)
(Luis Torres, Galindo Cartel)
(Luis Torres, Darthy)
(Luis Torres, True IRA)
(Luis Torres, Family Recipe)
(Jose Pablo Cantillo, Hector Salazar - List of Appearances)
(Jose Pablo Cantillo, Hector Salazar)
(Jose Pablo Cantillo, Sons of Anarchy)
(Luthor Barkwill, Luther Barkwill)
(Sam Situmorang, Caregiver)
(Sam Situmorang, Giving Back)
(Sam Situmorang, Sons of Anarchy)
(Andrew Thacher, Stolen Huffy)
(Andrew Thacher, Sons of Anarchy)
(Giving Back, Half Sack Epps)
(Giving Back, Gemma Teller Morrow)
(Giving Back, Otto Delaney)
(Giving Back, Dayton Callie)
(Giving Back, Kim Coates)
(Giving Back, Jack LoGiudice)
(Giving Back, Lela Cortines)
(Giving Back, Maggie Siff)
(Giving Back, Chibs Telford)
(Giving Back, Nicholas Guest)
(Giving Back, Tim Hunter)
(Giving Back, Tig Trager)
(Giving Back, Alice Lo)
(Giving Back, Mark Boone Junior)
(Giving Back, Josh Kohn)
(Giving Back, William F. Nicol)
(Giving Back, Sons of Anarchy)
(Giving Back, Charlie Hunnam)
(Giving Back, Season 1)
(Giving Back, Piney Winston)
(Giving Back, Tommy Flanagan)
(Giving Back, Luann Delaney)
(Giving Back, SAMCRO)
(Giving Back, Dendrie Taylor)
(Giving Back, Jay Karnes)
(Giving Back, Johnny Lewis)
(Giving Back, Kurt Sutter)
(Giving Back, Lisa Benedict)
(Giving Back, Lin Triad)
(Giving Back, Jim Lau)
(Giving Back, Katey Sagal)
(Giving Back, Charlie Hobart)
(Giving Back, Liane Curtis)
(Giving Back, Kyle Hobart)
(Giving Back, Abel Teller)
(Giving Back, April Hobart)
(Giving Back, Michael Ornstein)
(Giving Back, Clay Morrow)
(Giving Back, Sam Situmorang)
(Giving Back, Bobby Munson)
(Giving Back, Henry Lin)
(Giving Back, Ryan Hurst)
(Giving Back, Kenneth Choi)
(Giving Back, Chuck Marstein)
(Giving Back, Rebecca Tilney)
(Giving Back, John Teller)
(Giving Back, Jeff Imada)
(Giving Back, Ellie Winston)
(Giving Back, Ron Perlman)
(Giving Back, Patch Over)
(Giving Back, Sprague Grayden)
(Giving Back, Jax Teller)
(Giving Back, Tara Knowles)
(Giving Back, Brian Van Holt)
(Giving Back, Wayne Unser)
(Giving Back, Donna Winston)
(Giving Back, Opie Winston)
(Giving Back, AK-51)
(Giving Back, William Lucking)
(Biker Terms, SOA Dictionary)
(Orlin West, Tara Knowles)
(Orlin West, SAMCRO)
(Orlin West, Tyne Patterson)
(Orlin West, Clay Morrow)
(Orlin West, Poor Little Lambs)
(Orlin West, Lin Triad)
(Orlin West, Allesandro Montez)
(Orlin West, Bobby Munson)
(Orlin West, Douglas Bennett)
(Orlin West, Rane Quinn)
(Neil, Kevin Fry-Bowers)
(Neil, You Are My Sunshine)
(Neil, True IRA)
(Lin Triad, Gemma Teller Morrow)
(Lin Triad, Jimmy Cacuzza)
(Lin Triad, Connor Malone)
(Lin Triad, Jury White)
(Lin Triad, Chibs Telford)
(Lin Triad, Mayans Motorcycle Club)
(Lin Triad, Happy Lowman)
(Lin Triad, Juice Ortiz)
(Lin Triad, Tig Trager)
(Lin Triad, Wahewa tribe)
(Lin Triad, Ron Tully)
(Lin Triad, Ratboy Skogstrom)
(Lin Triad, Grim Bastards)
(Lin Triad, Indian Hills)
(Lin Triad, L.O.A.N.)
(Lin Triad, Rane Quinn)
(Lin Triad, One-Niners)
(Lin Triad, SAMCRO)
(Lin Triad, Aryan Brotherhood)
(Lin Triad, Ryu Tom)
(Lin Triad, True IRA)
(Lin Triad, Nero Padilla)
(Lin Triad, Lyla Winston)
(Lin Triad, Laroy Wayne)
(Lin Triad, Charles Barosky)
(Lin Triad, Opie Winston)
(Lin Triad, Cacuzza Crime Family)
(Lin Triad, T.O. Cross)
(Lin Triad, Cara Cara)
(Lin Triad, Tyler Yost)
(Lin Triad, Fiasco)
(Lin Triad, Byz Lats)
(Lin Triad, Clay Morrow)
(Lin Triad, Bohai Lin)
(Lin Triad, Bobby Munson)
(Lin Triad, August Marks)
(Lin Triad, Gib O'Leary)
(Lin Triad, Chris Dun)
(Lin Triad, Chuck Marstein)
(Lin Triad, Henry Lin)
(Lin Triad, Marcus Alvarez)
(Lin Triad, Allesandro Montez)
(Lin Triad, Bureau of Alcohol, Tobacco, Firearms and Explosives)
(Lin Triad, Luis Torres)
(Lin Triad, Otto Delaney)
(Lin Triad, Stockton State Prison)
(Lin Triad, Jax Teller)
(Lin Triad, Tara Knowles)
(Lin Triad, Orlin West)
(Lin Triad, Galen O'Shay)
(Lin Triad, Damon Pope)
(Lin Triad, Galindo Cartel)
(Lin Triad, Romeo Parada)
(Lin Triad, Renny)
(Johnny Drocco, Pilot)
(Johnny Drocco, Sons of Anarchy)
(Melanie Lora, SO)
(Melanie Lora, Sons of Anarchy)
(Galindo Cartel, Marcus Alvarez)
(Galindo Cartel, Santo Rivera)
(Galindo Cartel, Romero 'Romeo' Parada)
(Galindo Cartel, Jose Galindo)
(Galindo Cartel, Alphonse Medina)
(Galindo Cartel, Lobos Sonora Cartel)
(Galindo Cartel, Luis Torres)
(Lee 'Hamco' Staskunas, Call of Duty)
(Lee 'Hamco' Staskunas, Lee)
(Lee 'Hamco' Staskunas, Sons of Anarchy)
(Wolfsangel, Connor Malone)
(Wolfsangel, Filip 'Chibs' Telford)
(Wolfsangel, Gemma Teller Morrow)
(Wolfsangel, Billy Brown)
(Wolfsangel, Dayton Callie)
(Wolfsangel, George 'Ratboy' Skogstrom)
(Wolfsangel, Winter Ave Zoli)
(Wolfsangel, Margaret Murphy)
(Wolfsangel, Season 6)
(Wolfsangel, Walter Wong)
(Wolfsangel, Jimmy Smits)
(Wolfsangel, Kim Coates)
(Wolfsangel, Cane)
(Wolfsangel, Otto 'Big Otto' Delaney)
(Wolfsangel, CCH Pounder)
(Wolfsangel, John Hensley)
(Wolfsangel, Filthy Phil Russell)
(Wolfsangel, Jackson 'Jax' Teller)
(Wolfsangel, Timothy V. Murphy)
(Wolfsangel, Niko Nicotera)
(Wolfsangel, Mark Boone Junior)
(Wolfsangel, Clarence 'Clay' Morrow)
(Wolfsangel, Maggie Siff)
(Wolfsangel, Lee Toric)
(Wolfsangel, Colin Hoffmeister)
(Wolfsangel, David Labrava)
(Wolfsangel, Sons of Anarchy)
(Wolfsangel, Charlie Hunnam)
(Wolfsangel, Bobby 'Elvis' Munson)
(Wolfsangel, Wendy Case)
(Wolfsangel, Drea de Matteo)
(Wolfsangel, Donal Logue)
